Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
THM,International Tower Hill Mines Ltd. Ordinary Shares (Canada),$0.4588,0.0038,0.835%,91619351.00,Canada,,76784,Basic Materials,Metal Mining
TMP,Tompkins Financial Corporation Common Stock,$60.72,0.32,0.53%,874640390.00,United States,1997,114619,Finance,Major Banks
TMQ,Trilogy Metals Inc. Common Stock,$0.643,0.006,0.942%,103235456.00,Canada,,989481,Basic Materials,Precious Metals
TOON,Kartoon Studios Inc. Common Stock,$0.946,-0.004,-0.421%,37260575.00,United States,,161614,Consumer Discretionary,Movies/Entertainment
TOPS,TOP Ships Inc. Common Stock,$9.898,-0.4611,-4.451%,45790098.00,Greece,,4743,Consumer Discretionary,Marine Transportation
TOVX,Theriva Biologics Inc. Common Stock,$0.2898,0.0128,4.621%,5006982.00,United States,,148500,Health Care,Biotechnology: Pharmaceutical Preparations
TPET,Trio Petroleum Corp. Common Stock,$0.2443,-0.01,-3.932%,12295211.00,,2023,1069588,Energy,Oil & Gas Production
TPHS,Trinity Place Holdings Inc. Common Stock,$0.1121,-0.0022,-1.925%,7179610.00,,,476785,Real Estate,Building operators
TRT,Trio-Tech International Common Stock,$6.01,-0.0079,-0.131%,25544333.00,United States,1998,1450,Technology,Industrial Machinery/Components
TRX,TRX Gold Corporation Common Stock,$0.4167,-0.0016,-0.383%,116498247.00,Canada,,89561,Basic Materials,Precious Metals
UAMY,United States Antimony Corporation Common Stock,$0.3604,0.0042,1.179%,39081410.00,United States,,191286,Industrials,Metal Fabrications
UAVS,AgEagle Aerial Systems Inc. Common Stock,$0.441,-0.0114,-2.52%,5266169.00,United States,,473367,Industrials,Aerospace
UEC,Uranium Energy Corp. Common Stock,$5.63,-0.21,-3.596%,2301422116.00,Canada,,5373243,Basic Materials,Other Metals and Minerals
UMAC,Unusual Machines Inc. Common Stock,$1.67,-0.06,-3.468%,15586679.00,,2024,64642,Technology,Radio And Television Broadcasting And Communications Equipment
URG,Ur Energy Inc Common Shares (Canada),$1.32,-0.06,-4.348%,371746748.00,Canada,,2616792,Basic Materials,Precious Metals
USAS,Americas Gold and Silver Corporation Common Shares no par value,$0.2522,0.0022,0.88%,63307226.00,Canada,2017,315389,Basic Materials,Metal Mining
UTG,Reaves Utility Income Fund Common Shares of Beneficial Interest,$28.14,-0.16,-0.565%,0.00,United States,2004,283327,Finance,Investment Managers
UUU,Universal Security Instruments Inc. Common Stock,$1.55,0.03,1.974%,3584975.00,United States,2003,196041,Technology,Electronic Components
UUUU,Energy Fuels Inc Ordinary Shares (Canada),$5.53,-0.21,-3.659%,904994990.00,Canada,,1392732,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
VFL,abrdn National Municipal Income Fund Common Stock,$10.515,-0.065,-0.614%,0.00,United States,1993,27085,Finance,Finance/Investors Services
VGZ,Vista Gold Corp Common Stock,$0.5532,0.0022,0.399%,67354338.00,United States,1986,659958,Basic Materials,Precious Metals
VINE,Fresh Vine Wine Inc. Common Stock,$0.5201,0.0102,2.00%,8309236.00,,2021,958690,Consumer Staples,Beverages (Production/Distribution)
VKI,Invesco Advantage Municipal Income Trust II Common Shares of Beneficial Interest (DE),$8.77,-0.12,-1.35%,389440795.00,United States,1993,110648,Finance,Finance Companies
VNRX,VolitionRX Limited Common Stock,$0.7445,0.0275,3.835%,61655858.00,Singapore,2015,84744,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
VTAK,Catheter Precision Inc. Common Stock,$1.8181,-0.4319,-19.196%,1638564.00,,2018,153501,Health Care,Medical/Dental Instruments
VZLA,Vizsla Silver Corp. Common Shares,$1.99,0.09,4.737%,467842542.00,Canada,2024,1591974,Basic Materials,Precious Metals
WRN,Western Copper and Gold Corporation Common Stock,$1.08,-0.02,-1.818%,211906389.00,Canada,2011,118356,Basic Materials,Metal Mining
WWR,Westwater Resources Inc. Common Stock,$0.5202,-0.0118,-2.218%,29748618.00,United States,,44168,Basic Materials,Metal Mining
WYY,WidePoint Corporation Common Stock,$3.84,-0.22,-5.419%,35757162.00,United States,,76002,Technology,EDP Services
XPL,Solitario Resources Corp. Common Stock,$0.82,-0.041,-4.762%,66655887.00,United States,,58612,Basic Materials,Precious Metals
XTNT,Xtant Medical Holdings Inc. Common Stock,$0.7251,-0.0209,-2.802%,94420014.00,United States,,30852,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
YCBD,cbdMD Inc. Common Stock,$0.629,0.019,3.115%,2433653.00,United States,2017,40553,Consumer Discretionary,Package Goods/Cosmetics
YCBD^A,cbdMD Inc. 8.0% Series A Cumulative Convertible Preferred Stock,$0.46,0.00,0.00%,,United States,,103,,
ZDGE,Zedge Inc. Class B Common Stock ,$3.60,-0.07,-1.907%,52095020.00,,2016,17459,Technology,Computer Software: Prepackaged Software
ZOM,Zomedica Corp. Common Shares,$0.1495,-0.0005,-0.333%,146502475.00,United States,2017,2492712,Health Care,Pharmaceuticals and Biotechnology
ZONE,CleanCore Solutions Inc. Class B Common Stock,$2.03,-0.0676,-3.223%,16150516.00,,2024,9147,Industrials,Industrial Machinery/Components
