Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
GLO,Clough Global Opportunities Fund Common Stock,$5.27,-0.08,-1.495%,0.00,United States,2006,211881,Finance,Finance/Investors Services
GLQ,Clough Global Equity Fund Clough Global Equity Fund Common Shares of Beneficial Interest,$6.75,-0.20,-2.878%,0.00,United States,2005,106050,Finance,Finance/Investors Services
GLU,Gabelli Global Utility Common Shares of Beneficial Ownership,$14.635,-0.035,-0.239%,87355012.00,United States,2004,13410,Finance,Finance/Investors Services
GLU^A,The Gabelli Global Utility and Income Trust Series A Cumulative Puttable and Callable Preferred Shares,$47.33,0.00,0.00%,,United States,,20,,
GLU^B,The Gabelli Global Utility and Income Trust Series B Cumulative Puttable and Callable Preferred Shares,$50.15,-0.01,-0.02%,,United States,,3673,,
GLV,Clough Global Dividend and Income Fund Common Shares of beneficial interest,$5.64,-0.10,-1.742%,71682048.00,United States,2004,55488,Finance,Finance/Investors Services
GNS,Genius Group Limited Ordinary Shares,$0.2298,-0.0021,-0.906%,16976196.00,Singapore,2022,1237141,Consumer Discretionary,Services-Misc. Amusement & Recreation
GORO,Gold Resource Corporation Common Stock,$0.4503,0.0062,1.396%,40883384.00,United States,,216264,Basic Materials,Precious Metals
GRF,Eagle Capital Growth Fund Inc. Common Stock,$9.36,-0.05,-0.531%,0.00,United States,,7037,Finance,Finance/Investors Services
GRFX,Graphex Group Limited American Depositary Shares each American Depositary Share representing 20 Ordinary Shares,$0.2814,-0.0086,-2.966%,218773558.00,,2022,16493,,
GROY,Gold Royalty Corp. Common Shares,$1.38,-0.03,-2.128%,201348511.00,Canada,2021,725459,Basic Materials,Precious Metals
GSAT,Globalstar Inc. Common Stock,$1.19,-0.07,-5.556%,2261000000.00,United States,2006,3478653,Consumer Discretionary,Telecommunications Equipment
GTE,Gran Tierra Energy Inc. Common Stock,$9.41,-0.21,-2.183%,294835851.00,Canada,,267480,Energy,Oil & Gas Production
HNRA,HNR Acquisition Corp Class A Common Stock,$2.725,-0.075,-2.679%,0.00,,2022,9671,Energy,Oil & Gas Production
HNW,Pioneer Diversified High Income Fund Inc.,$11.79,-0.01,-0.085%,0.00,United States,2007,12544,Finance,Finance/Investors Services
HUSA,Houston American Energy Corporation Common Stock,$1.23,0.03,2.50%,13414814.00,United States,,116324,Energy,Oil & Gas Production
HWM^,Howmet Aerospace Inc. $3.75 Preferred Stock,$56.4459,0.00,0.00%,,United States,,364,,
